username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Celeste Schueler she/her,1250908430333890560,"Federal Way, WA",2023-01-24 02:15:04,@NatalieGMarino I am so sorry. I don’t think this person realizes that virtual healthcare helps so many. I wouldn’t… https://t.co/YAEDDopLKm,0,Twitter for iPhone,
FocusGroups.org,3726519792,"Seattle, WA",2023-01-24 01:56:54,"Focus Group for Seniors on Healthcare in Nashville 
https://t.co/15kdU53MSP https://t.co/qNzhmkUrgR",0,Zapier.com,
jenn,2872571769,Seattle,2023-01-24 01:46:52,"soooo we can all agree that tying something like healthcare to employment is pretty wild, no??",0,Twitter for iPhone,
Peter D,1445431041498382338,"Seattle, WA",2023-01-24 01:44:57,@Kmwaltz1 Yes that’s what I’ve heard. State mandate leaves no other option but to comply or otherwise the healthcar… https://t.co/dlamiNiOID,0,Twitter for iPhone,
Kathleen Lovlie,608233160,"Bremerton, WA",2023-01-24 01:37:47,"@subreo @twistedmic24 Yep, still doesn’t make it a HIPPA violation. HIPPA regulated how healthcare workers release… https://t.co/rrGOHETLz9",0,Twitter for iPhone,
Rose Bigham ⭐ (She/Her),1146825967,"Maltby, WA",2023-01-24 01:34:36,HB 1155 Protects patient health records for these specific services from other states AND protects digital healthca… https://t.co/xRthdk2Gvy,0,Twitter Web App,
Karen Olsen,552361855,"Seattle, WA USA",2023-01-24 01:27:36,@choeshow @safeLynnwood @WADeptHealth @GovInslee Maybe what they really need is a better healthcare organization ru… https://t.co/uMWKUkGqJR,0,Twitter Web App,
Seattle Dad ,822807935394775040,"Seattle, WA",2023-01-24 00:17:59,"@annaeck73 @zachshadowa96 @Lilies09 @KristanHawkins There are movements to

- restrict guns
- provide universal hea… https://t.co/KHFvHTawzO",0,Twitter for iPad,
metroReb,710206146,"Seattle, WA",2023-01-24 00:09:43,I got healthcare nowww,0,Twitter for iPhone,
Indivisible Tacoma,819789812643164160,"Tacoma, WA",2023-01-24 00:04:37,Support HB 1035 Access to Death with Dignity and Women's Healthcare and ask for an Exec Hearing https://t.co/ht1EW4Y3jq,0,Twitter Web App,
"a mote of dust, suspended on a sunbeam",501378693,Seattle,2023-01-23 23:58:04,"@johnpavlovitz there's a factchecker note on the source, but on reading it have to say this: Of course these claims… https://t.co/Zbzuhqbfg9",0,Twitter Web App,
🖤Goth🖤,100861316,"Seattle, WA",2023-01-23 23:50:00,🎶 I paid a old white guy to tell me I'm fat 🎶 thanks US Healthcare system🥵🥰❤️‍🔥,0,Twitter for Android,
TMJ-WAT Nursing Jobs,120647454,"Tacoma, WA",2023-01-23 23:40:34,"If you're looking for work in Seattle, WA, check out this LPN/LVN job via the link in our bio: Licensed Practical N… https://t.co/tgdtFWOURi",0,CareerArc 2.0,"{'type': 'Point', 'coordinates': [-122.336407, 47.6084921]}"
2PartySystemSucks,1589781744001028096,"Mercer Island, WA",2023-01-23 23:37:12,"@dcsommer67 @blueheartedly simple. Majority of Americans love this country, they want an American first policy, tra… https://t.co/4oAhAa8YUd",0,Twitter for iPhone,
Vlada Knowlton 🇺🇦,1419248815,Seattle,2023-01-23 23:24:21,"Also a huge thanks to @MarkoLiias, @SenatorTrudeau, @Dhingrama, @KarenKeiser1, and 11 other @WASenDemocrats for int… https://t.co/VkdsNJBeyV",0,Twitter for iPhone,
